﻿total=1044
écouter	听
écouteur	耳机
ventre	腹部，肚子
barbe	胡须
ébahi ,e	极为惊讶的
ébauche	草图
tension	紧张，紧张状态
tentative	试图，企图
natte	辫子，席子
nature	自然；本性
laisser faire la nature	顺其自然
naturel,elle	自然的，天生的；理所当然的
naturellement	自然地；本性地；理所当然地
croiser	使交叉
croisée	窗户
croisement	交叉，十字路口
abstrait,e	抽象的
absurde	荒谬的，荒诞的
absurdité	荒谬，荒诞
paresseux,euse	懒惰的
paresse	懒惰的人
parents	父母亲
paysan,anne	农民
peau	皮肤，果皮
brosse	刷子
brosser	刷
se brosser les dents	刷牙
se brosser les cheveux	梳头
joindre	接合，连接
jeune	年轻人，年轻的
joli	漂亮的，好的
sacré,e	神圣的，不可侵犯的
sacrifice	牺牲，献身
sacrifier	为...而牺牲，把...用于
pêche	桃子，捕鱼
pêcher	桃树；钓鱼
complication	复杂；纠结
broder	刺绣，绣花
bronze	青铜
bronzé ,e	（皮肤）晒黑的
détour	拐弯处
détourner	使改变方向
horaire	时刻表
filet	一点；网
fille	女孩；女儿
horloge	时钟
incompatible	不相容的，势不两立的
incompétence	不够格，不胜任
bilan	总结，小结
flétrir	使憔悴；使枯萎
se flétrir	枯萎，凋谢
flétri ,e	憔悴的，枯萎的
fleurir	开花；繁荣，兴旺
fleur	花
couard , e	胆怯的，胆小鬼
couardise	胆怯，怯懦
discuter	讨论，争论
discussion	讨论，商讨
discutable	有讨论余地的，可辨的
fraise	草莓
franc	法郎；坦率地
franc,franche	坦率的；真诚的
franchement	明确地，坦率地
rire	笑
français	法国的，法语的
Francais,e	法国人
sage	好的，听话的‘明智的
sagesse	谨慎；智慧
déposer	放下，放置
dépositaire	受托人；保管人
dépôt	存放，寄放处
déranger	弄乱，搞乱
dernier ,ère	最后的，最近的
la dernière  édition	最新电影版本
impact	碰撞，冲击；影响，作用
impair ,e	奇数的，单数的
incertain ,e	不定的，不明确的
incertitude	不确定，不肯定
incapable	无才能的，无能的人
dortoir	宿舍，集体宿舍
dos	背
vingt	二十
vintaine	二十左右，二十来个
vintième	第二十
amateur	爱好者，业余爱好者
bague	戒指
éloquence	雄辩，口才
divorce	离婚
divorcer	离婚（动词）
formulaire	表格
lâche	怯懦的；松弛的；懦夫
lâcher	松开，放松
toujours	总是；仍然
pour toujours	永远
déborder	溢出，泛滥
débloquer	开禁；解冻
férié ,e	放假的
ferme	农场
fermer	关闭，关上
fermé ,e	被关闭的；闭上的
différer	有差别，有分歧
différent ,e	不同的，有差别的
tousser	咳嗽
toutefois	然而，可是
tempéré ,e	温和的（天气）
temple	庙宇
temporaire	暂时的
sincère	真诚的，真挚的
sincérité	真诚，真挚
déblayer	清理
débit	零售，零售店
refuser	拒绝
refus	（阳性名词） 拒绝
résultat	结果，结局
résumé	摘要，梗概
en résumé	简言之，总之
résumer	概括，概述
fenêtre	窗户
fente	裂缝，缝隙
fer	铁
toxique	有毒的（东西）
tendu,e	绷紧的；紧张的
temps	天气；时间，时节
tempête	风暴；暴风雨
porte- monnaie	小钱包
porte- parole	发言人，代言人
résider	住，居住
résider  dans	在于，存在于
résidence  	住宅，居住
résigner	放弃；辞去；让出
se résigner	顺从，听任
flanquer	投，掷；带来
juste	公正的，正确的
justement	正好，恰好，正义地，正确地
effectif	全体人员
effectif ,ive	实际的，确实的
effectivement	事实上，实际上
confection	制造；烹调
conférence	会议，讲座
diable	魔鬼；究竟（表语气）
diabolique	恶魔般的
diagnostic	诊断，判断
dialecte	方言，土话
coude	肘；转弯处，拐角
coudre	缝
gloire	名誉，光荣
glorieux, euse	光荣的
idole	偶像
ignoble	卑劣的，无耻的
ignorer	不知道，不理会
militaire	军人，军事的
miracle	奇迹，奇事
miraculeux ,euse	奇迹般的，令人惊叹的
jamais	从不；曾经；历来
portefeuille	皮夹子，公文包
porter	负担；拿来；带来，写
porteur,euse	搬运工
portrait	肖像；照片
dialogue	对话，对白
diamant	钻石
accabler	压坏，压倒
accablant ,e	沉重的，难以忍受的
accéder  à	进入，通向，登上，终于达到
effectuer	实现，执行
effet	效果；影响；效应
en effet	实际上，因为，由于
confier	信任，托付
se  confier	信任，信赖
confiance	信任，信心
poser	放，摆；提出；问
positif , ive	肯定的，积极的；客观的
dévot ,e	虔诚的（人）
se dévouer	献身；致力于
dévoué ,e	忠诚的，忠实的
dévouement	献身，忠诚
flamme	火焰；光芒；热情
flanc	侧面
flancher	动摇，退让
flâner	漫步，闲逛，无所事事
condenser	压缩
condiment  	调味品
condition	条件，状况
conditionner	决定，制约
sous  (la)  condition  que	以...为条件
accélérer	加速，加快
accent	口音，重音
accentuer	重音；突出，强调
accepter	接受，领受
acceptable	可接受的，令人满意的
réservoir	水库；容器
conférencier ,ère	演讲人，报告人
confidence	隐情，知心话，秘密
confidentiel ,elle	秘密的，私下的
espiègle	调皮的，淘气的
espoir	希望
esprit	思想，头脑
couchette	（火车，船上的）卧铺
réserver	保留，预定
se réserver	（为自己）保留
résister	抗拒，抵制，忍受，经得起
résistance	抵抗；阻力；反对
résistant ,e	坚固的；有抵抗力的
flacon	小瓶
flairer	闻，嗅；意识到，察觉到
flamboyer	冒出火焰，燃烧，闪耀
frotter	摩，擦
frottement	摩擦，矛盾，不和
fruit	水果
clan	氏族，派系
clandestin ,e	秘密的，地下的
clarté	光，明白，清楚，清澈
classe	教室，班级，课，等级
flamber	燃烧；挥霍
micro	麦克风
conduire	带领，引导，驾驶
conducteur ,trice	驾驶员
conduite	驾驶，领导；品行，举止
glouton , onne	贪婪的（人），暴食的（人）
gomme	橡皮
habiller	给...穿衣
s'habiller	穿衣
habilleur , euse	服装师
habit	服装
île	岛，岛屿
illégal ,e	非法的，违法的
milieu	中间，当中；环境
au milieu de	在...中间
fusion	溶解，合并
futile	无关紧要的，微不足道的
étrenne	新年礼物
étroit,e	狭窄的；密切的
présenter	介绍；提出；提供
se présenter	自我介绍；出现
présence	到场，出现
en presence de	面对着，当面
croquis	速写，草图
cru,e	生的，未煮熟的
défiler	成对行进，游行
définir	下定义，确定
sauter	跳，跳跃
scandale	丑事；耻辱
scandaleux,euse	可耻的；引起公愤的
bravo	好，好极了；喝彩
bref,brève	短暂的，简短的
presse	报刊；新闻界；繁忙
brique	砖
brise	微风
briser	打破，粉碎，毁灭
caméra	摄像机
célèbre	著名的
célébrer	称赞，颂扬，庆祝
disponible	可使用的，可支配的
croquer	嚼，咬 （脆的食物）
croître	生长，成长；增长
le danger	危险
dangereux, euse	危险的
invincible	不可战胜的；无法克服的
joue	面颊
jouer	玩
président	主席，总统
presque	几乎，差不多
innombrable	无数的
inoubliable	难忘的
défi	挑战；对抗，藐视
défiance	不信任，怀疑
disperser	使分散；分散
disparaître	消失；失踪
coûter	花费
coûte que coûte	不惜一切代价，无论如何
coûteux ,euse	昂贵的；代价大的
débattre	商讨；议价
se débattre	奋斗，努力摆脱困境
débat	讨论；辩论；争论
évaluer	估价，估计
pourtant	然而，但是
enfin	最后，总之
tranquillement	平静地，安心地
tranquille	安静的，安心的
rapide	快的，迅速的
rapidement	快地，迅速地
rapidité	迅速，速度，敏捷
d'autre part	此外，另一方面
en dehors de	在...外面
donc	所以，因此
facile	容易的；平易近人的
facilement	轻而易举地
facilité	容易，简易
faciliter	使容易
de plus en plus	越来越
presser	挤，压；匆忙地做，赶紧
se presser	赶紧，拥挤
pressé ,e	被压过的；繁忙的
pression	压力的
bloc	大块，堆
bloquer	阻挡，堵住
blocus	封锁
tenir compte de	考虑，重视
enveloppe	信封
envelopper	包裹，裹住
envers	对于；反面，背面
avoir envie de faire qch.	想要做某事
s'en prendre à qn	指责，责怪某人
la jalousie	妒忌；嫉妒怨恨，抱怨某人
en vouloir à qn	怨恨，抱怨某人
inquiétant ,e	令人不安的，令人担心的
inquiet,ère	不安的，担心的
préjugé	偏见，成见
prématuré ,e	早产的，时机不成熟
prendre la mer	出海
prendre	le bras de qn 抓住某人的胳膊
croulant,e	要倒塌的，摇摇欲坠的
hesitant, e	犹豫不决的（人）
hésitation	犹豫，怀疑
hésiter	犹豫（动词）
digérer	消化；理解；容忍
digne	值得尊敬的，配的上的
